Fold;Dataset;Model;AUC;F-measure;Precision;Recall;MCC;FNR;TNR;FPR;Anomalies;TP
29;Full dataset;ExtraTrees;0.6774766656213996;0.33819951338199516;0.5322271857051691;0.24784546805349184;0.19317661224424562;0.7521545319465082;0.899354661540574;0.10064533845942608;3365;834
30;Full dataset;ExtraTrees;0.6373893515690986;0.42573273720814714;0.40577651515151514;0.4477533960292581;0.16357630807579995;0.5522466039707419;0.7202407489968792;0.2797592510031208;1914;857
31;Full dataset;ExtraTrees;0.7112976527239137;0.47330533893221355;0.6819360414866033;0.3624253559944879;0.2837452457470685;0.6375746440055122;0.8770875083500332;0.1229124916499666;2177;789
32;Full dataset;ExtraTrees;0.6521992960310716;0.5077800829875518;0.5705128205128205;0.45747663551401874;0.19100945781543305;0.5425233644859813;0.726530612244898;0.27346938775510204;2140;979
1;Full dataset;SVM;0.4169632398411478;0.638973063973064;0.47408193854609043;0.9797367062467734;-0.05052975302474759;0.020263293753226642;0.008360810174281677;0.9916391898257183;7748;7591
2;Full dataset;SVM;0.40772834933446583;0.5083425036433393;0.35319887584724746;0.9065450302323115;-0.10564921277130711;0.09345496976768855;0.04123016602340256;0.9587698339765974;9427;8546
3;Full dataset;SVM;0.30930302005612376;0.6103032820938928;0.45529211219587784;0.9253543307086615;-0.1312711651654702;0.07464566929133858;0.019799219185722253;0.9802007808142776;3175;2938
4;Full dataset;SVM;0.3712260638478501;0.6251006927662317;0.4898371417750284;0.8635655464055197;-0.13042563868161486;0.1364344535944803;0.05870020964360587;0.9412997903563941;4493;3880
5;Full dataset;SVM;0.32450902895611755;0.723999013401299;0.6116976938038344;0.8868076535750252;-0.12051510743057404;0.11319234642497483;0.04280821917808219;0.9571917808219177;4965;4403
6;Full dataset;SVM;0.3364419268923875;0.4518341379777106;0.2984442987423258;0.9296323802450799;-0.12725416881472945;0.07036761975492016;0.019575177009579343;0.9804248229904207;5386;5007
7;Full dataset;SVM;0.43612445389687987;0.26294277929155313;0.1598343685300207;0.7408829174664108;-0.13845286012803834;0.2591170825335892;0.12993138936535162;0.8700686106346484;521;386
8;Full dataset;SVM;0.24435861338209755;0.3811965811965813;0.2709599027946537;0.6426512968299711;-0.2955224669220156;0.3573487031700288;0.11045218680504076;0.8895478131949592;694;446
9;Full dataset;SVM;0.32738433923637794;0.4663865546218487;0.34188911704312114;0.7334801762114538;-0.14778113300134624;0.2665198237885463;0.14647137150466044;0.8535286284953395;454;333
10;Full dataset;SVM;0.2966520555666808;0.29059829059829057;0.18810511756569848;0.6384976525821596;-0.20301324763108033;0.3615023474178404;0.16540284360189575;0.8345971563981043;639;408
11;Full dataset;SVM;0.32887644363603485;0.3529124435217975;0.2325020112630732;0.7320162107396151;-0.20199756056641044;0.267983789260385;0.10573678290213723;0.8942632170978626;1974;1445
12;Full dataset;SVM;0.3145483412689996;0.4619406427802552;0.3144891122278057;0.8697162709901564;-0.161334792223555;0.13028372900984367;0.042129900526623756;0.9578700994733762;1727;1502
13;Full dataset;SVM;0.30855791962174944;0.18248175182481752;0.1091703056768559;0.5555555555555556;-0.29739142820655856;0.4444444444444444;0.13191489361702127;0.8680851063829788;45;25
14;Full dataset;SVM;0.27337493328654255;0.4997658079625292;0.37649964714184897;0.7430362116991645;-0.2546073552266806;0.25696378830083566;0.07244094488188976;0.9275590551181102;1436;1067
15;Full dataset;SVM;0.2642286467342064;0.19047619047619052;0.11214953271028037;0.631578947368421;-0.2633184304839139;0.3684210526315789;0.107981220657277;0.892018779342723;114;72
